STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,IND,Indicator,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_1,Total gross premiums > Total,2018,,69991.494,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_1,Total gross premiums > Total,2019,,61276.795,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_1,Total gross premiums > Total,2020,,57397.028,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_1,Total gross premiums > Total,2021,,66723.449,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_1,Total gross premiums > Total,2022,,66530.057,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_2,Total gross premiums > Life,2018,,34663.811,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_2,Total gross premiums > Life,2019,,26476.815,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_2,Total gross premiums > Life,2020,,21205.362,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_2,Total gross premiums > Life,2021,,23499.424,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_2,Total gross premiums > Life,2022,,22970.881,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_3,Total gross premiums > Non-Life,2018,,35327.683,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_3,Total gross premiums > Non-Life,2019,,34799.981,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_3,Total gross premiums > Non-Life,2020,,36191.667,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_3,Total gross premiums > Non-Life,2021,,43224.025,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,I_3,Total gross premiums > Non-Life,2022,,43559.176,,A,,USD,US Dollar,6,Millions,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_1,Market share in OECD > Total,2018,,1.318,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_1,Market share in OECD > Total,2019,,1.218,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_1,Market share in OECD > Total,2020,,1.085,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_1,Market share in OECD > Total,2021,,1.12,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_INSIND(1.0),Insurance indicators,I,AUS,Australia,II_1,Market share in OECD > Total,2022,,1.097,,A,,PC,Percentage,0,Units,,
